time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451250000	10.0287	20.9573	4.84105	3.28668	0.494606	radar	0.998824	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84954	20.915	4.71866	3.31986	0.509043	lidar	1.51931	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.61899	20.9056	4.65363	3.31284	0.43426	radar	1.67968	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.43645	20.8543	4.55909	3.3445	0.44944	lidar	0.691435	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.22323	20.8078	4.56258	3.37305	0.468495	radar	1.49754	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90119	20.7904	4.76787	3.36557	0.424113	lidar	2.72436	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.69448	20.7061	4.73881	3.40936	0.465069	radar	4.51712	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.3999	20.6293	4.87616	3.42712	0.454518	lidar	2.93891	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16942	20.5486	4.89213	3.45936	0.476045	radar	0.152554	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92254	20.47	4.92384	3.48033	0.471629	lidar	0.10254	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70607	20.3828	4.94306	3.51875	0.512607	radar	3.48375	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.37093	20.3308	5.14758	3.50571	0.458248	lidar	2.79862	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.13	20.2374	5.13714	3.52472	0.446661	radar	0.220766	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.86346	20.1537	5.19212	3.53494	0.430035	lidar	0.232578	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.63135	20.0645	5.15927	3.549	0.413612	radar	0.526576	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.38979	19.9708	5.16773	3.56427	0.406692	lidar	0.101668	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.16981	19.878	5.13989	3.5833	0.408847	radar	2.97707	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.90775	19.7833	5.19427	3.58995	0.390179	lidar	0.295929	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.66752	19.6381	5.27823	3.63197	0.443139	radar	1.76515	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.52087	19.5071	5.11564	3.67666	0.475909	lidar	2.11777	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.32095	19.3577	5.09672	3.71303	0.495811	radar	1.83403	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11675	19.2535	5.06143	3.72693	0.483066	lidar	1.98236	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93581	19.1415	4.93274	3.73845	0.449363	radar	4.73199	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
